Time,asks,bids,price
2020-07-01 14:00:00 UTC,13969981.6912527,10658879.1717032,9227.61619791667
2020-07-01 15:00:00 UTC,14485357.3537898,10630724.1612739,9242.76896
2020-07-01 16:00:00 UTC,14843944.9820698,9307975.31080609,9274.61101626016
2020-07-01 17:00:00 UTC,15423100.4939411,8764119.28011117,9281.47434931507
2020-07-01 18:00:00 UTC,15229709.5111975,9525333.37149064,9267.25029411765
2020-07-01 19:00:00 UTC,15210803.483612,9580000.00304796,9263.95014285714
2020-07-01 20:00:00 UTC,15043435.6411128,10360181.4266776,9248.68221698113
2020-07-01 21:00:00 UTC,14276447.1189241,10400615.9433523,9237.44312056738
2020-07-01 22:00:00 UTC,14433140.2259248,10758355.0786934,9235.68687022901
2020-07-01 23:00:00 UTC,14562714.974923,11082107.4162733,9242.7039
2020-07-02 00:00:00 UTC,14276677.6294556,11284588.4624609,9238.82388
2020-07-02 01:00:00 UTC,14177985.6441522,11358260.9530039,9235.56776859504
2020-07-02 02:00:00 UTC,15111884.4546547,10723058.975059,9253.34365979381
2020-07-02 03:00:00 UTC,14956967.3383236,10594845.1932256,9245.13468309859
2020-07-02 04:00:00 UTC,14640716.8245256,10795471.9592949,9238.82504132231
2020-07-02 05:00:00 UTC,14642268.1634773,11219130.3142514,9241.40095652174
2020-07-02 06:00:00 UTC,13274199.6548726,11282164.8161896,9195.9214
2020-07-02 07:00:00 UTC,13427914.4370913,11076483.6352685,9209.14697580645
2020-07-02 08:00:00 UTC,13327197.3160758,11045993.931371,9195.31517857143
2020-07-02 09:00:00 UTC,13670281.230393,11236848.5210467,9208.38463636364
2020-07-02 10:00:00 UTC,13324561.8281879,11410774.5745834,9196.86864661654
2020-07-02 11:00:00 UTC,13031427.8408774,11416878.2047682,9187.38
2020-07-02 12:00:00 UTC,13634604.189099,11108247.4426352,9212.71142241379
2020-07-02 13:00:00 UTC,14220862.4779259,10722781.694537,9241.34527027027
2020-07-02 14:00:00 UTC,13425963.1529038,10634340.2699752,9227.896875
2020-07-02 15:00:00 UTC,11105292.7268107,14787080.6708693,9084.35680952381
2020-07-02 16:00:00 UTC,9681643.34106473,14275277.7912539,9033.67290476191
2020-07-02 17:00:00 UTC,10311564.1909602,13361997.1898955,9042.96545454545
2020-07-02 18:00:00 UTC,10691252.4271813,12238000.6104611,9064.92611607142
2020-07-02 19:00:00 UTC,10538807.1329576,12704692.2730184,9058.65935483871
2020-07-02 20:00:00 UTC,10388810.3784822,13308244.3466385,9059.9327238806
2020-07-02 21:00:00 UTC,10845306.1588596,12544199.0486041,9095.11567226891
2020-07-02 22:00:00 UTC,11775746.6572421,11802488.0289693,9118.45330578512
2020-07-02 23:00:00 UTC,11676200.7941273,12691598.9424577,9095.53924603175
2020-07-03 00:00:00 UTC,11747387.3723304,12955793.4011113,9091.26947826087
2020-07-03 01:00:00 UTC,11874908.602345,12457183.5477495,9105.09339285715
2020-07-03 02:00:00 UTC,11763670.8004219,12643511.0283268,9106.43814935065
2020-07-03 03:00:00 UTC,11366873.2405568,13163321.4717166,9096.73528455284
2020-07-03 04:00:00 UTC,11036032.6323873,12912781.4090081,9091.21402439024
2020-07-03 05:00:00 UTC,12796941.5608203,12950876.9259025,9100.97926229508
2020-07-03 06:00:00 UTC,13878408.1588023,12632994.7407005,9098.44362385321
2020-07-03 07:00:00 UTC,13868554.4513191,12774092.8529562,9098.08219512195
2020-07-03 08:00:00 UTC,14033813.5124208,12454533.0203872,9107.63152671756
2020-07-03 09:00:00 UTC,13884242.3758518,12512254.5614377,9094.67683486238
2020-07-03 10:00:00 UTC,13805033.1680776,12497808.6412334,9074.04533333333
2020-07-03 11:00:00 UTC,13827733.0380392,12635030.5589428,9081.4983984375
2020-07-03 12:00:00 UTC,14554147.5778842,12501607.9525944,9100.87061403509
2020-07-03 13:00:00 UTC,14927850.8149658,12753041.7609388,9107.44787878788
2020-07-03 14:00:00 UTC,15679769.3163106,12638608.56287,9090.52355932203
2020-07-03 15:00:00 UTC,15553343.1552586,14124511.763577,9098.08957627119
2020-07-03 16:00:00 UTC,14497843.8946603,14330697.0527857,9097.06478991597
2020-07-03 17:00:00 UTC,14187236.854165,14259239.7216327,9093.38714285714
2020-07-03 18:00:00 UTC,14300653.3864486,13895289.9033184,9083.39965811966
2020-07-03 19:00:00 UTC,14484759.0147115,13900621.3077198,9079.16201030928
2020-07-03 20:00:00 UTC,14502785.8789961,13950855.380049,9082.00207207207
2020-07-03 21:00:00 UTC,14162990.2258115,13557778.1227753,9093.67810483871
2020-07-03 22:00:00 UTC,14046232.1501085,13423050.5442281,9094.30262962963
2020-07-03 23:00:00 UTC,13970519.7560593,13720686.6352072,9068.99496183206
2020-07-04 00:00:00 UTC,13784369.8771552,13764635.1944556,9066.61698198198
2020-07-04 01:00:00 UTC,13914161.6516683,13698257.478424,9068.73015267175
2020-07-04 02:00:00 UTC,14224795.5618442,13561150.9875844,9084.15134782609
2020-07-04 03:00:00 UTC,11759749.1248046,13545452.9175831,9084.86823076923
2020-07-04 04:00:00 UTC,12034538.5733259,13705018.6073224,9086.33446153846
2020-07-04 05:00:00 UTC,17382516.3097439,13770916.3308902,9084.49578512397
2020-07-04 06:00:00 UTC,18983611.9792135,13873576.3284054,9081.15278625954
2020-07-04 07:00:00 UTC,19106473.1692521,14144240.1862121,9076.38948412698
2020-07-04 08:00:00 UTC,19199394.9466784,14075950.7840102,9079.125
2020-07-04 09:00:00 UTC,19123305.9687282,14071221.8310475,9074.27992366412
2020-07-04 10:00:00 UTC,18870175.5253228,14013971.2188122,9068.67787610619
2020-07-04 11:00:00 UTC,19096093.5657922,14163376.0312801,9066.53382352941
2020-07-04 12:00:00 UTC,19187059.2618783,14060649.4552998,9069.64928571429
2020-07-04 13:00:00 UTC,12718790.9754314,13852937.132951,9076.50707317073
2020-07-04 14:00:00 UTC,11573496.7719752,14327904.3856679,9076.97504098361
2020-07-04 15:00:00 UTC,11412317.7813888,14688731.2218042,9063.8601754386
